1.764747873929887675e-02,-9.884594675030803843e-03,-1.481169434821753839e-01,2.132007163556108309e-01,-2.931608527099880401e-01,5.583731574542735165e-01,-2.179626479965008495e-02,2.124077705279160851e-03,4.152967098620764796e-02,-6.374188086436310963e-02,-1.456570646265917257e-01,-5.610726452877135874e-03,2.185496608007864716e-01,1.882951882095834292e-02,-4.906527564883155224e-01,-3.539269561294735578e-01,-1.542068141496454881e-01,-1.763657016394047997e-02,1.779716640967258234e-01,1.925393510817091092e-01
-1.545894828873549676e-01,6.891392636263718452e-02,-3.113540247566950157e-03,-2.132007163556098595e-01,-3.902008680934043738e-02,5.562598694976673697e-01,-1.768606977782994083e-01,3.974398130528671025e-02,1.161865311729836509e-01,-5.297192283904401666e-01,1.285116274131550829e-01,-1.535304926737653952e-01,6.505294678677275844e-04,9.451635146837288060e-02,3.161204628316941490e-01,1.507466086000029126e-01,5.688078659949772492e-02,-8.703024071538272011e-02,-1.900502669777741349e-01,-2.633893691966456840e-01
9.966601769638341879e-02,1.622747850192752528e-01,1.970423203177230215e-02,1.066003581778059706e-01,1.806282010933066284e-01,5.057525764392676315e-01,-3.199715284578472096e-01,1.626067396463299480e-02,-1.577162021591913821e-01,5.934611092548034428e-01,1.714543721343661509e-02,1.591412191266425302e-01,-2.192001902686541714e-01,-1.133458702893312409e-01,1.745322936566213734e-01,2.031803475294706451e-01,9.732602755014777007e-02,1.046668108793231966e-01,1.207860288104829760e-02,7.085001811493658874e-02
5.564580409534430200e-02,-2.773218992817676198e-02,-4.381164657104820725e-01,-2.132007163556101648e-01,1.859161674258445196e-01,-3.813373017744983717e-02,-1.185450692880240520e-01,3.099254703440955036e-02,-5.435418890795540303e-01,1.667911810842528375e-01,9.882885862109086483e-02,-1.849824782881232532e-01,3.091875688065963135e-01,1.001669747522982434e-01,-7.842313936088178561e-02,-1.743776269776060039e-01,3.464296707669212161e-02,-3.478199029808724529e-01,-1.531917422097341386e-01,-2.293992548417511101e-01
-1.722369616266538339e-01,7.879852103766799010e-02,1.450034032346084745e-01,-4.264014327112207181e-01,2.541407659006478248e-01,-2.113287956606295630e-03,-1.550644329786494136e-01,3.761990360000752598e-02,-1.168427432110422520e-01,-3.826426113117824268e-02,-2.543263695704788274e-01,-7.936791834453438277e-02,1.370659675698854274e-01,4.126474744209640555e-02,3.237058621849143725e-01,-3.619941314456807113e-01,-2.661929113178916340e-01,2.431194928729261406e-01,3.271614307228416507e-01,3.030112589604775364e-01
8.201853895708459408e-02,1.721593796943060306e-01,1.678211755139476791e-01,-1.066003581778051379e-01,4.737890538032947796e-01,-5.262058101500582952e-02,-2.981752636581972982e-01,1.413659625935371512e-02,4.149823541208891853e-01,-9.073460360263151114e-02,4.364714713639539223e-02,2.452767286501634780e-01,1.581709107188439822e-01,-2.201476346573348897e-01,-2.685051598467083633e-01,-1.512561672962729198e-01,2.270623780799059799e-01,-3.801163391470204767e-01,1.289516771468814105e-02,2.399630915021752631e-02
-2.071456847240215893e-01,5.808863944289878456e-02,1.204594053477291288e-01,4.264014327112204406e-01,6.200430092858959068e-03,-1.126346071996977422e-01,-2.441270936205819919e-01,1.144379967845466639e-01,3.323327405991321343e-03,1.734564714171921151e-02,-9.111262579277805418e-02,2.407180601165155032e-01,6.247543784791795979e-02,3.160659571665878076e-01,1.997271340691055552e-01,-1.559700021088920585e-01,-4.095605214275619410e-01,-2.118313721409608441e-01,-4.644691160723523060e-01,9.511924669906059171e-02
2.542555005837383586e-01,9.336085865663790173e-02,2.281777227933913868e-02,3.198010745334157745e-01,2.196482879026473711e-01,-5.050729305839944672e-02,-1.431108306795475515e-01,-2.348330734065394443e-02,-5.413331885870439342e-01,-5.541590641395741645e-01,-1.237410055848802287e-01,1.708531812614681178e-01,-9.471824939901070384e-02,-8.971057669428099401e-02,-7.350137863258107696e-02,1.285392667807689626e-01,1.235315940760391973e-01,1.468594678546368826e-01,7.882698596325181384e-02,1.593538910035750267e-01
1.808455800664926783e-01,-2.153390423663029685e-01,5.178222489274113965e-02,2.132007163556101093e-01,1.154761991944124391e-02,-1.179622486686214000e-01,-4.200746863013485877e-01,2.324455516272372624e-01,1.380435373556246625e-01,1.244081704021739176e-02,-1.197543446097306258e-01,-7.367249559967441463e-01,-1.455334093974531839e-01,-1.395713787122287719e-01,-1.818687095038494517e-02,-1.783370293425540209e-03,-7.745400978649952251e-03,-3.375658816092365344e-02,-2.869364481368884973e-02,9.441105419726776582e-02
1.616138440967284928e-01,1.091289439887932200e-01,4.926520912942217861e-02,-3.198010745334159410e-01,-4.098877755247866128e-01,-6.714371488985222680e-02,-9.517518199698186965e-02,3.399823184868905335e-01,-1.117724744052352032e-01,-1.225964337266568539e-02,-4.555685322375736535e-01,2.370841544748299168e-01,-2.708664816480255699e-01,-3.197401834636027784e-01,-2.558527715877417091e-02,-1.031085974624674079e-01,-5.423489564689026876e-02,-1.566458808186623475e-01,-1.404095602539174870e-01,-2.227821748233532739e-01
