"0,1,2,3,4,5,6,7",-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,5,6,7",-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,5,6,7",-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,1.0,1.0,-0.0,-0.0,-0.0
"0,1,2,3,4,5,6,7",-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,1.0,1.0,1.0
"0,1,2,3,4,5,6,7",-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0
"0,1,2,3,4,5,6,7",-0.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0
"0,1,2,3,4,5,6,7",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0
"0,1,2,3,4,5,6,7",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0

"0,1,2,3,4,5,7,17",-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,5,7,17",-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,5,7,17",-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,1.0,1.0,-0.0,-0.0
"0,1,2,3,4,5,7,17",-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,5,7,17",1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,1.0,1.0
"0,1,2,3,4,5,7,17",1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0,-1.0,-1.0,-0.0,1.0
"0,1,2,3,4,5,7,17",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,5,7,17",-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0

"0,1,2,3,4,5,7,18",-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,5,7,18",-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,5,7,18",-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,1.0,1.0,-0.0,-0.0
"0,1,2,3,4,5,7,18",-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,5,7,18",-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0
"0,1,2,3,4,5,7,18",1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0,-1.0,-1.0,-0.0,1.0
"0,1,2,3,4,5,7,18",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,5,7,18",-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0

"0,1,2,3,4,5,7,19",-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,5,7,19",-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,5,7,19",-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,1.0,1.0,-0.0,-0.0
"0,1,2,3,4,5,7,19",-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,5,7,19",-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0
"0,1,2,3,4,5,7,19",-0.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0
"0,1,2,3,4,5,7,19",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,5,7,19",-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0

"0,1,2,3,4,6,7,10",-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,6,7,10",-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,6,7,10",-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0
"0,1,2,3,4,6,7,10",-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,1.0
"0,1,2,3,4,6,7,10",1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-0.0,1.0,-0.0,1.0,-0.0
"0,1,2,3,4,6,7,10",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0
