S0, 
S1, 
S2, 
S3, 
S4, 
S5, 
S6, 
S7, 
S8, 
S9, 
S0, 0.0
, 8.0
, 11.0
, 18.0
, 24.0
, 27.0
, 35.0
, 39.0
, 41.0
, 42.0
S1, 8.0
, 0.0
, 3.0
, 10.0
, 16.0
, 19.0
, 27.0
, 31.0
, 33.0
, 34.0
S2, 11.0
, 3.0
, 0.0
, 7.0
, 13.0
, 16.0
, 24.0
, 28.0
, 30.0
, 31.0
S3, 18.0
, 10.0
, 7.0
, 0.0
, 6.0
, 9.0
, 17.0
, 21.0
, 23.0
, 24.0
S4, 24.0
, 16.0
, 13.0
, 6.0
, 0.0
, 3.0
, 11.0
, 15.0
, 17.0
, 18.0
S5, 27.0
, 19.0
, 16.0
, 9.0
, 3.0
, 0.0
, 8.0
, 12.0
, 14.0
, 15.0
S6, 35.0
, 27.0
, 24.0
, 17.0
, 11.0
, 8.0
, 0.0
, 4.0
, 6.0
, 7.0
S7, 39.0
, 31.0
, 28.0
, 21.0
, 15.0
, 12.0
, 4.0
, 0.0
, 2.0
, 3.0
S8, 41.0
, 33.0
, 30.0
, 23.0
, 17.0
, 14.0
, 6.0
, 2.0
, 0.0
, 1.0
S9, 42.0
, 34.0
, 31.0
, 24.0
, 18.0
, 15.0
, 7.0
, 3.0
, 1.0
, 0.0
